name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
Antoine Francois Trading Co Int'l I,Jamaica,GOJEP Awards,,,,,G0210-General Supplies,,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=5242481,won: Procurement of Tricycle Spares; value: 9144.36 Currency: USD; date: 12/05/2026 18:39:47; agency: Petrojam Limited
Smith's Asphalt and Aggregate Ltd,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8621974,"won: Emergency Procurement - Letter of Bid - MoBay Township - Barnett Street et al, St. James (Post Hurricane Melissa); value: 29963715.00 Currency: JMD; date: 12/05/2026 18:02:38; agency: National Works Agency"
Graphic Design and Construction Service Ltd,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9484560,won: Emergency Works Hurricane Melissa Reopening of Roads- Swain Spring - Padmore; value: 3734746.64 Currency: JMD; date: 12/05/2026 17:18:43; agency: National Works Agency
Odel Allen Construction,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8575608,won: Emergency Procurement - LOB - Patching - Westmoreland (Package A); value: 22876900.00 Currency: JMD; date: 12/05/2026 17:09:26; agency: National Works Agency
Caribbean Chemicals and Agencies(Jamaica)Limited,Jamaica,GOJEP Awards,,,,,"G0020-Agricultural Tools, Equipment Parts and Supplies",,,,,supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8931130,won: Invitation to Quote for Supply and Delivery of Microbial Soil Amendment (EM-1) under the RADA Hurricane Melissa Rapid Response Recovery Resilience Programme: RADA/GOODS/40/2025.; value: 4255000.00 Currency: JMD; date: 12/05/2026 17:01:50; agency: Rural Agricultural Development Authority
Jamaica Electrical Technologies Ltd.,Jamaica,GOJEP Awards,,,,,W0070-Electrical Works,,,,,supply;energy,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9483897,won: Emergency Procurement of Electrical Repairs at Western TVET Institute - Culloden (698268); value: 2/ 2; date: 12/05/2026 16:09:34; agency: HEART NSTA/Trust
Ammando Whyte T/A A.Whyte Roofing and Construction,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8852402,won: The Repairs to the Windows of the Linton McDonnough Laboratory and Other Remedial Works at the Veterinary Services Division; value: 2/ 2; date: 12/05/2026 14:58:34; agency: Ministry of Agriculture Fisheries and Mining
Rick Williams Trucking Equipment and Construction Ltd.,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8880592,"won: Routine Road Maintenance: Bog Walk, St. Catherine; value: 11067180.00 Currency: JMD; date: 12/05/2026 14:16:17; agency: National Works Agency"
ROYALE COMPUTERS AND ACCESSORIES LIMITED,Jamaica,GOJEP Awards,,,,,S0120-Computers and Related Services,,,,,supply;security,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=1904966,won: Procurement for the supply of Email Security Solution; value: 16337555.50 Currency: JMD; date: 12/05/2026 14:05:24; agency: Ministry of National Security
AdverBrand Services Company Ltd.,Jamaica,GOJEP Awards,,,,,G0330-Manufacture and Supply of Textile and Garment Products,,,,,supply;security,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8538309,won: Procurement for the Supply and Delivery of 27 Shirts for the Ministry of National Security and Peace; value: 88964.00 Currency: JMD; date: 12/05/2026 14:05:02; agency: Ministry of National Security
Marshall Construction Company Limited,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=7785075,"won: Procurement for the Proposed Construction of Entrance Gates and Boundary Fencing Installation with Block Wall at  Prospect Primary -St Thomas; value: 34586800.00 Currency: JMD; date: 12/05/2026 00:45:43; agency: Ministry of Education, Youth and Information"
Cambridge Trading Limited,Jamaica,GOJEP Awards,,,,,W0030-Building Construction,,,,,construction;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=7889268,"won: Procurement for  Repairs to Damaged Classroom Buildings at Priory Primary School St Ann; value: 18065080.00 Currency: JMD; date: 12/05/2026 00:42:14; agency: Ministry of Education, Youth and Information"
KS VERDANT ENTERPRISES LIMITED,Jamaica,GOJEP Awards,,,,,"G0130-Computers, Computer Equipment, Parts and Supplies",,,,,it;supply,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=8798880,won: Procurement of a Server for the Real Estate Board; value: 5345652.64 Currency: JMD; date: 12/05/2026 00:01:43; agency: Real Estate Board and Commission of Strata Corporations
J and L Equipment and Construction Services Limited,Jamaica,GOJEP Awards,,,,,W0050-Civil Engineering,,,,,construction,https://www.gojep.gov.jm/epps/cft/prepareViewCfTWS.do?resourceId=9478808,won: Emergency Works Hurricane Melissa Reopening of Roads- Swain Spring - Red Hills; value: 2842310.32 Currency: JMD; date: 11/05/2026 23:23:21; agency: National Works Agency
